from,to,cost,,,
73,5,352.6,,,0
5,154,347.2,,,0
154,263,392.9,,,0
263,56,440.8,,,0
56,96,374.6,,,0
96,42,378.1,,,0
42,58,364.6,,,0
58,95,476.8,,,0
95,72,480.1,,,0
72,271,419.5,,,0
271,68,251.1,,,-66
134,107,344,,,0
107,130,862.1,,,0
130,129,482.5,,,-98
227,167,1425.7,,,0
167,298,415.7,,,0
298,209,425.5,,,0
209,146,519.6,,,0
146,170,494.7,,,0
170,173,400.7,,,0
173,117,372.4,,,0
117,0,573.5,,,0
0,92,398,,,0
92,243,667.3,,,0
243,62,357.3,,,-141
203,80,1071.1,,,0
80,97,834.1,,,0
97,28,531.4,,,0
28,57,327.7,,,0
57,55,925.2,,,0
55,223,382.7,,,0
223,143,309.5,,,0
143,269,329.1,,,0
269,290,362,,,0
290,110,425.6,,,0
110,121,388.4,,,0
121,299,327.1,,,0
299,293,326.1,,,0
293,148,534.9,,,0
148,150,341.1,,,0
150,152,354.5,,,54
98,70,315.1,,,0
70,255,1308.8,,,127
128,131,672.4,,,0
131,132,803.8,,,0
132,133,363.2,,,-109
242,18,789.9,,,0
18,43,422.6,,,0
43,118,449.7,,,0
118,207,448.7,,,0
207,169,459.6,,,0
169,127,422.2,,,0
127,208,450.6,,,0
208,297,426,,,0
297,168,430,,,0
168,166,395.1,,,0
166,226,1027.2,,,213
13,26,341.5,,,0
26,94,408.2,,,0
94,219,612.7,,,0
219,217,359.6,,,0
217,31,411.9,,,0
31,215,478.7,,,0
215,111,2685.8,,,0
111,116,1194.2,,,0
116,36,409.1,,,0
36,78,414.7,,,-223
301,20,446,,,-253
273,138,326.7,,,0
138,284,489.7,,,0
284,114,464.9,,,0
114,245,397.5,,,0
245,48,376.8,,,0
48,206,402.5,,,0
206,144,356.9,,,0
144,172,358.4,,,-65
237,24,452.4,,,-280
304,35,378,,,0
35,115,503.6,,,0
115,86,1228.5,,,0
86,214,2712.1,,,0
214,27,471.1,,,0
27,216,419.6,,,0
216,218,359.8,,,0
218,76,356.6,,,0
76,238,424.6,,,0
238,50,527.9,,,-41
91,52,424.1,,,0
52,75,350.2,,,0
75,171,397.2,,,127
44,7,380.6,,,-249
256,1,1149.5,,,0
1,46,448.5,,,-166
212,270,328.7,,,0
270,32,352.3,,,0
32,10,406.7,,,7
3,247,424.5,,,0
247,249,609.8,,,0
249,225,515,,,-36
261,260,294.1,,,0
260,259,340.6,,,0
259,103,360.7,,,0
103,302,346.7,,,0
302,104,1093.8,,,0
104,71,363.7,,,0
71,88,360.2,,,0
88,268,372.8,,,0
268,240,420.3,,,0
240,9,451.3,,,0
9,239,358.1,,,0
239,23,441,,,0
23,22,319.8,,,0
22,49,447.5,,,-227
276,258,427,,,103
155,157,353.4,,,0
157,158,331.7,,,0
158,286,383.8,,,0
286,102,330.1,,,0
102,285,367.8,,,0
285,15,348.8,,,0
15,8,352.1,,,0
8,300,397.9,,,0
300,34,394.2,,,0
34,161,359.8,,,0
161,125,426.1,,,0
125,235,413.7,,,0
235,163,409.7,,,0
163,236,368.2,,,0
236,250,460.1,,,0
250,122,391.6,,,0
122,252,393.6,,,0
252,69,380,,,0
69,39,338.1,,,0
39,234,361.3,,,0
234,82,356.8,,,0
82,274,748.3,,,0
274,175,357,,,0
175,177,360.6,,,0
177,213,316.1,,,0
213,179,310.7,,,0
179,33,328.3,,,0
33,181,333,,,0
181,183,563.8,,,0
183,184,331.4,,,0
184,185,375.4,,,0
185,254,332.5,,,0
254,188,333.5,,,0
188,141,381.6,,,0
141,278,302.4,,,0
278,289,393.7,,,0
289,190,329.5,,,0
190,192,320.7,,,0
192,194,358.9,,,0
194,196,300.5,,,0
196,198,264.8,,,0
198,180,293.3,,,-86
266,135,325.4,,,0
135,54,379.8,,,0
54,231,392.3,,,0
231,66,828.6,,,0
66,59,423.2,,,0
59,232,802.7,,,120
112,14,357.6,,,0
14,89,334.2,,,-56
145,228,454.6,,,0
228,205,354,,,0
205,244,386.4,,,0
244,100,437.8,,,0
100,303,449.2,,,0
303,136,431.2,,,0
136,305,413.2,,,0
305,139,355.4,,,-14
153,151,330.7,,,0
151,149,377.7,,,0
149,295,408.2,,,0
295,291,334.3,,,0
291,294,341.2,,,0
294,77,362.2,,,0
77,109,383.8,,,0
109,292,353.4,,,0
292,147,371,,,0
147,29,486.6,,,0
29,222,292.7,,,0
222,79,1270.1,,,0
79,90,981.4,,,0
90,2,572.5,,,0
2,81,318.6,,,0
81,204,1023.1,,,-20
224,229,520.6,,,0
229,4,315.9,,,0
4,246,312.3,,,0
246,11,418.5,,,-82
93,87,412.1,,,0
87,74,361.3,,,0
74,165,305.1,,,0
165,241,347.4,,,0
241,108,404,,,0
108,137,345.7,,,0
137,123,352.7,,,0
123,37,341.4,,,0
37,84,373.4,,,0
84,101,345.3,,,0
101,221,394.3,,,0
221,220,574.3,,,0
220,201,389.5,,,0
201,211,274.9,,,0
